あいえるたん,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,アイエルタン,アイエルタン,0/6,C1
藍田,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,アイダ,アイダ,0/3,C1
朱司,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,アカシ,アカシ,1/3,C1
青山,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,アオヤマ,アオヤマ,2/4,C1
雨晴,1350,1350,7000,名詞,固有名詞,人名,姓,*,*,*,アメハレ,アメハレ,2/4,C1
アル,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,アル,アル,1/2,C1
うさぎ,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ウサギ,ウサギ,0/3,C1
櫻歌,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,オウカ,オーカ,1/3,C1
音街,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,オトマチ,オトマチ,2/4,C1
春日部,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,カスカベ,カスカベ,0/4,C1
麒ヶ島,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,キガシマ,キガシマ,2/4,C1
紲星,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,キズナ,キズナ,1/3,C1
九州,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,キュウシュウ,キュウシュウ,1/4,C1
キョウコ,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,キョオコ,キョオコ,1/3,C1
栗田,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,クリタ,クリタ,1/3,C1
玄野,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,クロノ,クロノ,1/3,C1
剣崎,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,ケンザキ,ケンザキ,1/4,C1
後鬼,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ゴキ,ゴキ,1/2,C1
虎太郎,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,コタロウ,コタロー,4/4,C1
琴葉,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,コトノハ,コトノハ,0/4,C1
琴詠,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,コトヨミ,コトヨミ,0/4,C1
小夜,1351,1351,2200,名詞,固有名詞,人名,名,*,*,*,サヨ,サヨ,1/2,C1
四国,1350,1350,2200,名詞,固有名詞,人名,姓,*,*,*,シコク,シコク,1/3,C1
白上,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,シラカミ,シラカミ,4/4,C1
ずんだもん,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ズンダモン,ズンダモン,1/5,C1
そら,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ソラ,ソラ,1/2,C1
宗麟,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ソウリン,ソウリン,1/4,C1
ぞん子,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ゾンコ,ゾンコ,1/3,C1
タイプＴ,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,タイプティー,タイプティー,4/5,C1
中国,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,チュウゴク,チュウゴク,1/4,C1
中部,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,チュウブ,チュウブ,1/3,C1
つるぎ,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ツルギ,ツルギ,0/3,C1
波音,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ナミネ,ナミネ,0/3,C1
武宏,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,タケヒロ,タケヒロ,2/4,C1
ちび式じい,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,チビシキジー,チビシキジー,5/6,C1
月読,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ツクヨミ,ツクヨミ,0/4,C1
つむぎ,1351,1351,7450,名詞,固有名詞,人名,名,*,*,*,ツムギ,ツムギ,0/3,C1
ナースロボ,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ナースロボ,ナースロボ,4/5,C1
ナナ,1351,1351,8600,名詞,固有名詞,人名,名,*,*,*,ナナ,ナナ,1/2,C1
Ｎｏ．７,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ナンバーセブン,ナンバーセブン,5/7,C1
ニア,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,ニア,ニア,1/2,C1
猫使,1350,1350,2200,名詞,固有名詞,人名,姓,*,*,*,ネコツカ,ネコツカ,2/4,C1
ノエル,1351,1351,7450,名詞,固有名詞,人名,名,*,*,*,ノエル,ノエル,1/3,C1
はう,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,ハウ,ハウ,1/2,C1
花丸,1351,1351,8600,名詞,固有名詞,人名,名,*,*,*,ハナマル,ハナマル,0/4,C1
春歌,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ハルカ,ハルカ,1/3,C1
桜乃,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ハルノ,ハルノ,1/3,C1
ビィ,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ビー,ビー,1/2,C1
ひまり,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ヒマリ,ヒマリ,0/3,C1
紅桜,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,ベニザクラ,ベニザクラ,3/5,C1
Ｖｏｉｄｏｌｌ,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ボイドール,ボイドール,3/5,C1
聖騎士,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,ホーリーナイト,ホーリーナイト,5/7,C1
ＷｈｉｔｅＣＵＬ,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ホワイトカル,ホワイトカル,5/6,C1
まろん,1351,1351,7450,名詞,固有名詞,人名,名,*,*,*,マロン,マロン,1/3,C1
満別,1350,1350,8600,名詞,固有名詞,人名,姓,*,*,*,マンベツ,マンベツ,1/4,C1
ミコ,1351,1351,3900,名詞,固有名詞,人名,名,*,*,*,ミコ,ミコ,1/2,C1
水奈瀬,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ミナセ,ミナセ,2/3,C1
冥鳴,1350,1350,5000,名詞,固有名詞,人名,姓,*,*,*,メイメイ,メイメイ,1/4,C1
鳴花,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,メイカ,メイカ,1/3,C1
めたん,1351,1351,7000,名詞,固有名詞,人名,名,*,*,*,メタン,メタン,1/3,C1
雌雄,1351,1351,8600,名詞,固有名詞,人名,名,*,*,*,メスオ,メスオ,0/3,C1
もち子さん,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,モチコサン,モチコサン,1/5,C1
モチノ,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,モチノ,モチノ,0/3,C1
結月,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ユヅキ,ユヅキ,1/3,C1
弓鶴,1351,1351,0,名詞,固有名詞,人名,名,*,*,*,ユヅル,ユヅル,0/3,C1
リツ,1351,1351,3900,名詞,固有名詞,人名,名,*,*,*,リツ,リツ,1/2,C1
六花,1351,1351,4900,名詞,固有名詞,人名,名,*,*,*,リッカ,リッカ,1/3,C1
龍星,1351,1351,5000,名詞,固有名詞,人名,名,*,*,*,リュウセイ,リュウセイ,1/4,C1
雀松,1350,1350,0,名詞,固有名詞,人名,姓,*,*,*,ワカマツ,ワカマツ,2/4,C1
ＣＯＥＩＲＯＩＮＫ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエイロインク,コエイロインク,5/7,C1
ｃｏｅｉｒｏｉｎｋ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエイロインク,コエイロインク,5/7,C1
ＣｏｅＦｏｎｔ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエフォント,コエフォント,3/5,C1
ｃｏｅｆｏｎｔ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,コエフォント,コエフォント,3/5,C1
Ｎｅｍｏ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ネモ,ネモ,1/2,C1
ｎｅｍｏ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ネモ,ネモ,1/2,C1
ＴＡＬＱｕ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トーク,トーク,0/3,C1
ｔａｌｑｕ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,トーク,トーク,0/3,C1
ＶＯＩＣＥＶＯＸ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスボックス,ボイスボックス,4/7,C1
ｖｏｉｃｅｖｏｘ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスボックス,ボイスボックス,4/7,C1
ＶＯＩＣＥＲＯＩＤ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスロイド,ボイスロイド,4/6,C1
Ｖｏｉｃｅｒｏｉｄ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボイスロイド,ボイスロイド,4/6,C1
ＶＯＣＡＬＯＩＤ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボーカロイド,ボーカロイド,4/6,C1
ｖｏｃａｌｏｉｄ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ボーカロイド,ボーカロイド,4/6,C1
ボカロ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボカロ,ボカロ,0/3,C1
ボイロ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボイロ,ボイロ,0/3,C1
ボイボ,1348,1348,5000,名詞,固有名詞,一般,*,*,*,*,ボイボ,ボイボ,0/3,C1
ＳｅｉｒｅｎＶｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｓｅｉｒｅｎ:Ｖｏｉｃｅ,セイレーン:ボイス,セイレーン:ボイス,0/5:1/3,C1
ｓｅｉｒｅｎｖｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｓｅｉｒｅｎ:ｖｏｉｃｅ,セイレーン:ボイス,セイレーン:ボイス,0/5:1/3,C1
ＮＶＯＩＣＥ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｎ:ＶＯＩＣＥ,エヌ:ボイス,エヌ:ボイス,0/2:1/3,C1
ＮＶｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｎ:Ｖｏｉｃｅ,エヌ:ボイス,エヌ:ボイス,0/2:1/3,C1
ｎｖｏｉｃｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｎ:ｖｏｉｃｅ,エヌ:ボイス,エヌ:ボイス,0/2:1/3,C1
ＮＡＩＲ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｎ:ＡＩＲ,エヌ:エアー,エヌ:エアー,0/2:1/3,C1
ＮＡｉｒ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｎ:Ａｉｒ,エヌ:エアー,エヌ:エアー,0/2:1/3,C1
ｎａｉｒ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｎ:ａｉｒ,エヌ:エアー,エヌ:エアー,0/2:1/3,C1
Ｔｗｉｔｃｈ,1348,1348,2525,名詞,固有名詞,一般,*,*,*,*,ツイッチ,ツイッチ,2/4,C1
ｔｗｉｔｃｈ,1348,1348,2525,名詞,固有名詞,一般,*,*,*,*,ツイッチ,ツイッチ,2/4,C1
１７ＬＩＶＥ,1348,1348,4147,名詞,固有名詞,一般,*,*,*,１７:ＬＩＶＥ,ワンセブン:ライブ,ワンセブン:ライブ,0/5:1/3,C1
１７ｌｉｖｅ,1348,1348,4147,名詞,固有名詞,一般,*,*,*,１７:ｌｉｖｅ,ワンセブン:ライブ,ワンセブン:ライブ,0/5:1/3,C1
Ｐｏｃｏｃｈａ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ポコチャ,ポコチャ,1/3,C1
ｐｏｃｏｃｈａ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ポコチャ,ポコチャ,1/3,C1
Ｓｐｏｏｎ,1348,1348,4188,名詞,固有名詞,一般,*,*,*,*,スプーン,スプーン,2/4,C1
ｓｐｏｏｎ,1348,1348,4188,名詞,固有名詞,一般,*,*,*,*,スプーン,スプーン,2/4,C1
ＲＥＡＬＩＴＹ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,リアリティー,リアリティー,2/5,C1
ｒｅａｌｉｔｙ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,リアリティー,リアリティー,2/5,C1
Ｍｉｒｒａｔｉｖ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ミラティブ,ミラティブ,1/4,C1
ｍｉｒｒａｔｉｖ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ミラティブ,ミラティブ,1/4,C1
ＳＨＯＷＲＯＯＭ,1348,1348,-3765,名詞,固有名詞,一般,*,*,*,*,ショールーム,ショールーム,2/5,C1
ｓｈｏｗｒｏｏｍ,1348,1348,-3765,名詞,固有名詞,一般,*,*,*,*,ショールーム,ショールーム,2/5,C1
ＢＩＧＯ　ＬＩＶＥ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ＢＩＧＯ　:ＬＩＶＥ,ビゴ:ライブ,ビゴ:ライブ,0/2:1/3,C1
ｂｉｇｏ　ｌｉｖｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｂｉｇｏ　:ｌｉｖｅ,ビゴ:ライブ,ビゴ:ライブ,0/2:1/3,C1
ＯＰＥＮＲＥＣ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ＯＰＥＮ:ＲＥＣ,オープン:レック,オープン:レック,0/4:1/3,C1
ｏｐｅｎｒｅｃ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｏｐｅｎ:ｒｅｃ,オープン:レック,オープン:レック,0/4:1/3,C1
ＴｉｋＴｏｋ,1348,1348,2525,名詞,固有名詞,一般,*,*,*,Ｔｉｋ:Ｔｏｋ,ティック:トック,ティック:トック,0/3:1/3,C1
ｔｉｋｔｏｋ,1348,1348,2525,名詞,固有名詞,一般,*,*,*,ｔｉｋ:ｔｏｋ,ティック:トック,ティック:トック,0/3:1/3,C1
Ｍｉｌｄｏｍ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ミルダム,ミルダム,1/4,C1
ｍｉｌｄｏｍ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ミルダム,ミルダム,1/4,C1
ｃｌｕｓｔｅｒ,1348,1348,-275,名詞,固有名詞,一般,*,*,*,*,クラスター,クラスター,2/5,C1
ＣｈａｔＧＰＴ,1348,1348,0,名詞,固有名詞,一般,*,*,*,Ｃｈａｔ:ＧＰＴ,チャット:ジーピーティー,チャット:ジーピーティー,0/3:5/6,C1
ｃｈａｔｇｐｔ,1348,1348,0,名詞,固有名詞,一般,*,*,*,ｃｈａｔ:ｇｐｔ,チャット:ジーピーティー,チャット:ジーピーティー,0/3:5/6,C1
ｈｏｌｏｌｉｖｅ,1348,1348,0,名詞,固有名詞,一般,*,*,*,*,ホロライブ,ホロライブ,2/5,C1
